compound,work,book,line_num
ἀμύμων,Iliad,13,641
ἀμύμων,Iliad,13,790
ἀμύμων,Iliad,14,115
ἀμύμων,Iliad,14,426
ἀμύμων,Iliad,14,444
ἀμύμων,Iliad,14,469
ἀμύμων,Iliad,15,463
ἀμύμων,Iliad,16,140
ἀμύμων,Iliad,16,152
ἀμύμων,Iliad,16,197
ἀμύμων,Iliad,16,855
ἀμύμων,Iliad,19,245
ἀμύμων,Iliad,17,10
ἀμύμων,Iliad,17,186
ἀμύμων,Iliad,17,280
ἀμύμων,Iliad,17,379
ἀμύμων,Iliad,17,698
ἀμύμων,Iliad,18,55
ἀμύμων,Iliad,20,206
ἀμύμων,Iliad,20,231
ἀμύμων,Iliad,20,236
ἀμύμων,Iliad,20,484
ἀμύμων,Iliad,22,113
ἀμύμων,Iliad,22,278
ἀμύμων,Iliad,21,546
ἀμύμων,Iliad,23,137
ἀμύμων,Iliad,23,263
ἀμύμων,Iliad,23,522
ἀμύμων,Iliad,24,85
ἀμφήκης,Iliad,10,256
ἀμφιβρότης,Iliad,2,389
ἀμφίβροτος,Iliad,11,32
ἀμφίβροτος,Iliad,12,402
ἀμφίβροτος,Iliad,20,281
ἀμφιγυήεις,Iliad,14,239
ἀμφιγυήεις,Iliad,18,383
ἀμφιγυήεις,Iliad,18,393
ἀμφιγυήεις,Iliad,18,462
ἀμφιγυήεις,Iliad,18,587
ἀμφιγυήεις,Iliad,18,590
ἀμφιγυήεις,Iliad,18,614
ἀμφίγυος,Iliad,13,147
ἀμφίγυος,Iliad,14,27
ἀμφίγυος,Iliad,15,278
ἀμφίγυος,Iliad,15,386
ἀμφίγυος,Iliad,15,712
ἀμφίγυος,Iliad,16,637
ἀμφίγυος,Iliad,17,731
ἀμφίγυος (*),Iliad,1,607
ἀμφίδασυς,Iliad,15,309
Ἀμφικλῆς,Iliad,16,313
ἀμφίκομος,Iliad,17,677
ἀμφικύπελλον,Iliad,9,656
ἀμφικύπελλος,Iliad,1,584
ἀμφικύπελλος,Iliad,6,220
ἀμφικύπελλος,Iliad,23,219
ἀμφικύπελλος,Iliad,23,656
ἀμφικύπελλος,Iliad,23,663
ἀμφικύπελλος,Iliad,23,667
ἀμφικύπελλος,Iliad,23,699
ἀμφιλύκη,Iliad,7,433
Ἀμφίμαχος,Iliad,2,870
Ἀμφίμαχός,Iliad,2,871
ἀμφιμέλας,Iliad,1,103
ἀμφίφαλος,Iliad,5,743
ἀμφίφαλος,Iliad,11,41
ἀναδέσμη,Iliad,22,469
ἀνάεδνος,Iliad,9,288
ἀνάεδνος,Iliad,13,366
ἀνάεδνος ἀ/ἀν,Iliad,9,146
ἀναιδής,Iliad,4,521
ἀναιδής,Iliad,5,593
ἀναιδής,Iliad,13,139
ἀναιδής (*),Iliad,9,372
ἀναίμων ,Iliad,5,342
ἀναιμωτί,Iliad,17,497
ἀναίτιος,Iliad,11,654
ἀναίτιος,Iliad,13,775
ἀναίτιος,Iliad,20,297
ἄναλκις,Iliad,2,201
ἄναλκις,Iliad,5,331
ἄναλκις,Iliad,5,349
ἄναλκις,Iliad,6,74
ἄναλκις,Iliad,8,152
ἄναλκις,Iliad,9,35
ἄναλκις,Iliad,9,41
ἄναλκις,Iliad,11,390
ἄναλκις,Iliad,13,104
ἄναλκις,Iliad,13,777
ἄναλκις,Iliad,14,126
ἄναλκις,Iliad,15,62
ἄναλκις,Iliad,15,326
ἄναλκις,Iliad,16,355
ἄναλκις,Iliad,16,656
ἄναλκις,Iliad,17,320
ἄναλκις,Iliad,17,337
ἄναλκις,Iliad,21,555
ἀνάποινος,Iliad,1,99
ἀνάρσιος,Iliad,24,365
ἄναρχος,Iliad,2,703
ἄναρχος,Iliad,2,726
ἀνδράγριος,Iliad,14,509
Ἀνδραίμων,Iliad,2,638
Ἀνδραίμων,Iliad,13,216
Ἀνδραίμων,Iliad,15,281
Ἀνδραίμων (*),Iliad,7,168
ἀνδράποδον,Iliad,7,475
Ἀνδρομάχη,Iliad,6,371
Ἀνδρομάχη,Iliad,6,377
Ἀνδρομάχη,Iliad,6,395
Ἀνδρομάχη,Iliad,6,405
Ἀνδρομάχη,Iliad,8,187
ἀνέμωρος (*),Iliad,2,521
ἀνέστιος,Iliad,9,63
ἀνίδρως (*),Iliad,15,228
ἀνόλεθρος,Iliad,13,761
ἄνοος,Iliad,21,441
ἀντάξιος,Iliad,1,136
ἀντάξιος,Iliad,9,401
ἀντάξιος,Iliad,11,514
Ἀντήνωρ,Iliad,2,822
Ἀντήνωρ,Iliad,3,148
Ἀντήνωρ,Iliad,3,203
Ἀντήνωρ,Iliad,3,262
Ἀντήνωρ,Iliad,3,312
Ἀντήνωρ,Iliad,5,69
Ἀντήνωρ,Iliad,6,299
Ἀντήνωρ,Iliad,7,347
Ἀντήνωρ,Iliad,7,357
Ἀντήνωρ,Iliad,12,99
Ἀντήνωρ,Iliad,14,463
Ἀντήνωρ,Iliad,14,473
Ἀντήνωρ,Iliad,15,517
Ἀντήνωρ,Iliad,20,396
Ἀντήνωρ,Iliad,21,546
Ἀντήνωρ,Iliad,21,579
Ἀντήνωρ (*),Iliad,3,122
Ἀντήνωρ (*),Iliad,3,123
Ἀντήνωρ (*),Iliad,4,87
Ἀντήνωρ (*),Iliad,11,59
Ἀντήνωρ (*),Iliad,11,221
Ἀντήνωρ (*),Iliad,11,249
Ἀντήνωρ (*),Iliad,11,262
Ἀντήνωρ (*),Iliad,19,53
ἀντιάνειρα,Iliad,3,189
ἀντιάνειρα,Iliad,6,186
ἀντίβιος,Iliad,1,304
ἀντίβιος,Iliad,2,377
ἀντίβιος,Iliad,3,20
ἀντίβιος,Iliad,3,435
ἀντίβιος,Iliad,5,220
ἀντίβιος,Iliad,7,40
ἀντίβιος,Iliad,7,51
ἀντίβιος,Iliad,11,386
ἀντίβιος,Iliad,21,226
ἀντίβιος (*),Iliad,1,278
ἀντίθεος,Iliad,3,186
ἀντίθεος,Iliad,4,88
ἀντίθεος,Iliad,4,377
ἀντίθεος,Iliad,5,168
ἀντίθεος,Iliad,5,629
ἀντίθεος,Iliad,5,663
ἀντίθεος,Iliad,5,692
ἀντίθεος,Iliad,5,705
ἀντίθεος,Iliad,6,199
ἀντίθεος,Iliad,8,275
ἀντίθεος,Iliad,9,623
ἀντίθεος,Iliad,11,140
ἀντίθεος,Iliad,11,322
ἀντίθεος,Iliad,12,307
ἀντίθεος,Iliad,12,408
ἀντίθεος,Iliad,13,791
ἀντίθεος,Iliad,14,322
ἀντίθεος,Iliad,16,321
ἀντίθεος,Iliad,16,421
ἀντίθεος,Iliad,16,649
ἀντίθεος,Iliad,20,232
ἀντίθεος,Iliad,20,407
ἀντίθεος,Iliad,21,91
ἀντίθεος,Iliad,21,595
ἀντίθεος,Iliad,23,360
ἀντίθεος,Iliad,23,837
ἀντίθεος,Iliad,24,257
ἀντίθεός,Iliad,10,112
Ἄξυλος,Iliad,6,12
ἀπάλαμνος,Iliad,5,597
ἀπειρέσιος,Iliad,20,58
ἀπείρων,Iliad,1,350
ἀπείρων,Iliad,7,446
ἀπείρων,Iliad,24,342
ἀπερείσιος,Iliad,1,372
ἀπερείσιος,Iliad,2,635
ἀπερείσιος,Iliad,6,49
ἀπερείσιος,Iliad,6,427
ἀπερείσιος,Iliad,9,120
ἀπερείσιος,Iliad,10,380
ἀπερείσιος,Iliad,11,134
ἀπερείσιος,Iliad,19,138
ἀπερείσιος,Iliad,24,276
ἀπερείσιος,Iliad,24,502
ἀπερείσιος,Iliad,24,579
ἀπήμων,Iliad,1,415
ἀπήμων,Iliad,1,415
ἀπήμων,Iliad,12,80
ἀπήμων,Iliad,13,744
ἀπήμων,Iliad,13,748
ἀπήμων,Iliad,13,761
ἀπήμων,Iliad,14,164
ἄπιστος,Iliad,3,106
ἀποθύμιος,Iliad,14,261
ἄποτμος,Iliad,24,388
ἀπτοεπής,Iliad,8,209
ἀπτόλεμος,Iliad,2,201
ἀπτόλεμος,Iliad,9,35
ἀπτόλεμος,Iliad,9,41
ἄπυρος,Iliad,9,122
Ἀραιθυρέα,Iliad,2,571
ἀργικέραυνος,Iliad,19,121
ἀργικέραυνος,Iliad,20,16
ἀργικέραυνοσ,Iliad,22,178
ἀργιόδων,Iliad,9,539
ἀργιόδων,Iliad,10,264
ἀργιόδων,Iliad,11,292
ἀργιόδων,Iliad,23,32
ἀργίπους,Iliad,24,211
ἀργυροδίνης,Iliad,2,753
ἀργυροδίνης,Iliad,21,8
ἀργυρόηλος,Iliad,2,45
ἀργυρόηλος,Iliad,3,334
ἀργυρόηλος,Iliad,3,361
ἀργυρόηλος,Iliad,7,302
ἀργυρόηλος,Iliad,13,610
ἀργυρόηλος,Iliad,14,405
ἀργυρόηλος,Iliad,16,135
ἀργυρόηλος,Iliad,19,372
ἀργυρόηλος,Iliad,18,389
ἀργυρόηλος,Iliad,23,804
ἀργυρόπεζα,Iliad,1,538
ἀργυρόπεζα,Iliad,1,556
ἀργυρόπεζα,Iliad,9,410
ἀργυρόπεζα,Iliad,16,222
ἀργυρόπεζα,Iliad,16,574
ἀργυρόπεζα,Iliad,19,28
ἀργυρόπεζα,Iliad,18,127
ἀργυρόπεζα,Iliad,18,146
ἀργυρόπεζα,Iliad,18,369
ἀργυρόπεζα,Iliad,18,381
ἀργυρόπεζα,Iliad,24,89
ἀργυρόπεζα,Iliad,24,120
ἀργυρότοξος,Iliad,1,37
ἀργυρότοξος,Iliad,1,451
ἀργυρότοξος,Iliad,2,766
ἀργυρότοξος,Iliad,5,449
ἀργυρότοξος,Iliad,5,517
ἀργυρότοξος,Iliad,5,760
ἀργυρότοξος,Iliad,7,58
ἀργυρότοξος,Iliad,10,515
ἀργυρότοξος,Iliad,21,229
ἀργυρότοξος,Iliad,24,56
ἀργυρότοξος,Iliad,24,758
Ἀρηΐλυκος,Iliad,14,451
Ἀρηΐλυκος,Iliad,16,308
ἀρηΐφιλος,Iliad,2,778
ἀρηΐφιλος,Iliad,3,21
ἀρηΐφιλος,Iliad,3,52
ἀρηΐφιλος,Iliad,3,69
ἀρηΐφιλος,Iliad,3,90
ἀρηΐφιλος,Iliad,3,136
ἀρηΐφιλος,Iliad,3,206
ἀρηΐφιλος,Iliad,3,232
ἀρηΐφιλος,Iliad,3,253
ἀρηΐφιλος,Iliad,3,307
ἀρηΐφιλος,Iliad,3,430
ἀρηΐφιλος,Iliad,3,430
ἀρηΐφιλος,Iliad,3,452
ἀρηΐφιλος,Iliad,3,457
ἀρηΐφιλος,Iliad,4,13
ἀρηΐφιλος,Iliad,4,150
ἀρηΐφιλος,Iliad,5,561
ἀρηΐφιλος,Iliad,6,73
ἀρηΐφιλος,Iliad,16,303
ἀρηΐφιλος,Iliad,17,1
ἀρηΐφιλος,Iliad,17,11
ἀρηΐφιλος,Iliad,17,138
ἀρηΐφιλος,Iliad,17,319
ἀρηΐφιλος,Iliad,17,336
ἀρηΐφιλος,Iliad,17,346
ἀρίζηλος,Iliad,2,318
ἀρίζηλος,Iliad,13,244
ἀρίζηλος,Iliad,18,219
ἀρίζηλος,Iliad,18,221
ἀρίζηλος,Iliad,18,519
ἀρίζηλος,Iliad,22,27
ἄσπερμος,Iliad,20,303
Ἀστύαλος,Iliad,6,29
Ἀστυάναξ,Iliad,6,403
Ἀστυάναξ,Iliad,22,500
Ἀστυάναξ,Iliad,22,506
Ἀστύνοος,Iliad,15,456
Ἀστύπυλος,Iliad,21,209
ἀτάλαντος,Iliad,2,169
ἀτάλαντος,Iliad,2,407
ἀτάλαντος,Iliad,2,627
ἀτάλαντος,Iliad,2,636
ἀτάλαντος,Iliad,2,651
ἀτάλαντος,Iliad,7,47
ἀτάλαντος,Iliad,7,366
ἀτάλαντος,Iliad,8,215
ἀτάλαντος,Iliad,10,137
ἀτάλαντος,Iliad,12,463
ἀτάλαντος,Iliad,13,295
ἀτάλαντος,Iliad,13,328
ἀτάλαντος,Iliad,13,500
ἀτάλαντος,Iliad,13,528
ἀτάλαντος,Iliad,13,795
ἀτάλαντος,Iliad,14,318
ἀτάλαντος,Iliad,15,302
ἀτάλαντος,Iliad,16,784
ἀτάλαντος,Iliad,17,72
ἀτάλαντος,Iliad,17,259
ἀτάλαντος,Iliad,17,477
ἀτάλαντος,Iliad,17,536
ἀταλάφρων,Iliad,6,400
ἀταρβής,Iliad,13,299
ἄτιμος,Iliad,1,171
ἄτιμος (*),Iliad,1,516
ἄτιμος (*),Iliad,16,90
αὐλῶπις,Iliad,11,353
αὐλῶπις,Iliad,13,530
αὐλῶπιςαὐλός,Iliad,5,182
ἄϋπνος,Iliad,9,325
αὐτῆμαρ,Iliad,1,81
αὐτῆμαρ,Iliad,18,454
αὐτοκασίγνηοςω,Iliad,3,238
αὐτοκασίγνητος,Iliad,2,706
αὐτοκασίγνητος,Iliad,11,427
αὐτοκασίγνητος,Iliad,13,534
αὐτοκασίγνητος,Iliad,14,156
αὐτοκασίγνητος,Iliad,16,718
Αὐτόλυκος,Iliad,10,267
Αὐτόνοος,Iliad,11,301
αὐτονυχί,Iliad,8,197
αὐτοστάδιος (*),Iliad,13,325
αὐτοχόωνον,Iliad,23,826
ἄφαλος,Iliad,10,258
Ἀφαρεύς,Iliad,13,478
Ἀφαρεύς,Iliad,13,541
ἀφῆλιξ (*),Iliad,22,490
ἀφρήτωρ,Iliad,9,63
ἄφρων,Iliad,3,220
ἄφρων,Iliad,4,104
ἄφρων,Iliad,5,761
ἄφρων,Iliad,5,875
ἄφρων,Iliad,11,389
ἄφρων,Iliad,24,157
ἄφρων,Iliad,24,186
ἄφυλλος,Iliad,2,425
Ἀψευδής,Iliad,18,46
ἄωρος (*),Iliad,24,540
βαθυδίνης,Iliad,20,73
βαθυδίνης,Iliad,21,143
βαθυδίνης,Iliad,21,212
βαθυδίνης,Iliad,21,228
βαθυδίνης,Iliad,21,329
βαθύζωνος,Iliad,9,594
Βαθυκλῆς,Iliad,16,594
βαθύκολπος,Iliad,18,122
βαθύκολπος,Iliad,18,339
βαθύκολπος,Iliad,24,215
βαθύλειμος,Iliad,9,151
βαθύλειμος,Iliad,9,293
βαθύρροον,Iliad,21,8
βαθύσχοινον,Iliad,4,383
βαρβαρόφωνος,Iliad,2,867
Βιάνωρ,Iliad,11,92
βλοσυρῶπις,Iliad,11,36
βοάγριος,Iliad,2,533
βοάγριος,Iliad,12,22
Βουπράσιος,Iliad,2,615
Βουπράσιος,Iliad,11,756
Βουπράσιος,Iliad,11,760
βοῶπις,Iliad,1,551
βοῶπις,Iliad,1,568
βοῶπις,Iliad,3,144
βοῶπις,Iliad,4,50
βοῶπις,Iliad,7,10
βοῶπις,Iliad,8,471
βοῶπις,Iliad,14,159
βοῶπις,Iliad,14,222
βοῶπις,Iliad,14,263
βοῶπις,Iliad,15,34
βοῶπις,Iliad,15,49
βοῶπις,Iliad,16,439
βοῶπις,Iliad,18,239
βοῶπις,Iliad,18,357
βοῶπις,Iliad,18,360
βοῶπις,Iliad,20,309
βροτολοιγός,Iliad,5,31
βροτολοιγός,Iliad,5,455
βροτολοιγός,Iliad,5,518
βροτολοιγός,Iliad,5,846
βροτολοιγός,Iliad,5,909
βροτολοιγός,Iliad,8,349
βροτολοιγός,Iliad,11,295
βροτολοιγός,Iliad,12,130
βροτολοιγός,Iliad,13,298
βροτολοιγός,Iliad,13,802
βροτολοιγός,Iliad,20,46
βροτολοιγός,Iliad,21,421
γαμψῶνυξ,Iliad,16,428
γλαυκῶπις,Iliad,1,206
γλαυκῶπις,Iliad,2,166
γλαυκῶπις,Iliad,2,172
γλαυκῶπις,Iliad,2,279
γλαυκῶπις,Iliad,2,446
γλαυκῶπις,Iliad,4,439
γλαυκῶπις,Iliad,5,29
γλαυκῶπις,Iliad,5,133
γλαυκῶπις,Iliad,5,405
γλαυκῶπις,Iliad,5,420
γλαυκῶπις,Iliad,5,719
γλαυκῶπις,Iliad,5,793
γλαυκῶπις,Iliad,5,825
γλαυκῶπις,Iliad,5,853
γλαυκῶπις,Iliad,6,88
γλαυκῶπις,Iliad,7,17
γλαυκῶπις,Iliad,7,33
γλαυκῶπις,Iliad,7,43
γλαυκῶπις,Iliad,8,30
γλαυκῶπις,Iliad,8,357
γλαυκῶπις,Iliad,8,406
γλαυκῶπις,Iliad,8,420
γλαυκῶπις,Iliad,9,390
γλαυκῶπις,Iliad,10,482
γλαυκῶπις,Iliad,10,553
γλαυκῶπις,Iliad,11,729
γλαυκῶπις,Iliad,17,567
γλαυκῶπις,Iliad,18,227
γλαυκῶπις,Iliad,20,69
γλαυκῶπις,Iliad,22,177
γλαυκῶπις,Iliad,22,214
γλαυκῶπις,Iliad,22,238
γλαυκῶπις,Iliad,22,446
γλαυκῶπις,Iliad,23,769
γλαυκῶπις,Iliad,24,26
γλαυκῶπς,Iliad,8,373
γλυκύθυμος,Iliad,20,467
δαΐφρονι,Iliad,17,123
δαΐφρων,Iliad,2,23
δαΐφρων,Iliad,2,60
δαΐφρων,Iliad,2,875
δαΐφρων,Iliad,4,93
δαΐφρων,Iliad,4,252
δαΐφρων,Iliad,4,370
δαΐφρων,Iliad,5,181
δαΐφρων,Iliad,5,184
δαΐφρων,Iliad,5,277
δαΐφρων,Iliad,5,813
δαΐφρων,Iliad,6,162
δαΐφρων,Iliad,6,196
δαΐφρων,Iliad,8,152
δαΐφρων,Iliad,9,651
δαΐφρων,Iliad,10,402
δαΐφρων,Iliad,11,123
δαΐφρων,Iliad,11,138
δαΐφρων,Iliad,11,197
δαΐφρων,Iliad,11,450
δαΐφρων,Iliad,11,456
δαΐφρων,Iliad,11,482
δαΐφρων,Iliad,11,791
δαΐφρων,Iliad,11,839
δαΐφρων,Iliad,13,164
δαΐφρων,Iliad,13,418
δαΐφρων,Iliad,14,459
δαΐφρων,Iliad,14,487
δαΐφρων,Iliad,15,239
δαΐφρων,Iliad,16,727
