lemma,inferred,segmentation,member1,member1_category,member1_subcategory,member2,member2_category,member2_subcategory,analysis_count,member_count
ἄλλοφος,0,ἄ+λλοφος,ἀ/ἀν,d,,λόφος,n,thematic,1,2
ἄλυτος,0,ἄ+λυτος,ἀ/ἀν,d,,λύω,v,thematic,1,2
ἀλφεσίβοιος,0,ἀλφεσί+βοιος,ἀλφάνω,v,thematic,βοῦς,n,u-stem,1,2
ἀμαλλοδετήρ,0,ἀμαλλο+δετήρ,ἄμαλλα,n,-ā/a,δέω,v,thematic,1,2
ἁματροχός,1,ἁμα+τροχός,ἅμα,d,,τρέχω,v,thematic,2,2
ἁματροχός,1,ἁ[ρ]μα+τροχός,ἅρμα,n,n-stem,τρέχω,v,thematic,2,2
ἀμαχητί,0,ἀ+μαχητί,ἀ/ἀν,d,,μάχη,n,-ā/a,1,2
ἀμβατός,0,ἀμ+βατός,ἀνά,r,,βαίνω,v,thematic,1,2
ἀμβλήδην,0,ἀμ+βλήδην,ἀνά,r,,βάλλω,v,thematic,1,2
ἀμβολος,1,ἀμ+βολος,ἀνά,r,,βάλλω,v,thematic,1,2
ἄμβροτος,0,ἄ+μβροτος,ἀ/ἀν,d,,βροτός,n,thematic,1,2
ἀμείλικτος,0,ἀ+μείλικτος,ἀ/ἀν,d,,μειλίσσω,v,thematic,1,2
ἀμείλιχος,0,ἀ+μείλιχος,ἀ/ἀν,d,,μείλιχος,a,thematic,1,2
ἀμενηνός,0,ἀ+μενηνός,ἀ/ἀν,d,,μένος,n,s-stem,1,2
ἀμετρο-,0,ἀ+μετρο-,ἀ/ἀν,d,,μέτρον,n,thematic,1,2
ἀμετροεπής,0,ἀμετρο+επής,ἀμετρο-,a,thematic,ἔπος,n,s-stem,1,3
ἀμήχανος,0,ἀ+μήχανος,ἀ/ἀν,d,,μηχανή,n,-ā/a,1,2
ἀμιτροχίτων,0,ἀ+μιτροχίτωνας,ἀ/ἀν,d,,-μιτροχίτων,n,n-stem,1,3
ἄμμορος,0,ἄ+μμορος,ἀ/ἀν,d,,μείρομαι,v,thematic,1,2
ἀμογητός,0,ἀ+μογητός,ἀ/ἀν,d,,μογέω,v,thematic,1,2
ἀμύμων,0,ἀ+μύμων,ἀ/ἀν,d,,μῶμος?,n,thematic,1,2
ἀμφάδιος,0,ἀμ+φάδιος,ἀνά,r,,φαίνω,v,thematic,1,2
ἀμφήκης,0,ἀμφ+ήκης,ἀμφί,r,,ἀκή,n,-ā/a,1,2
ἀμφηρεφής,0,ἀμφ+ηρεφής,ἀμφί,r,,ἐρέφω,v,thematic,1,2
ἀμφήριστος,0,ἀμφ+ήριστος,ἀμφί,r,,ἐρίζω,v,thematic,1,2
ἀμφίβασις,0,ἀμφί+βασις,ἀμφί,r,,βαίνω,v,thematic,1,2
ἀμφίβροτος,0,ἀμφί+βροτος,ἀμφί,r,,βροτός,n,thematic,1,2
Ἀμφιγενής,0,Ἀμφι+γενής,ἀμφί,r,,γίγνομαι,v,thematic,1,2
ἀμφιγυήεις,0,ἀμφι+γυήεις,ἀμφί,r,,γύη,n,-ā/a,1,2
ἀμφίγυος,0,ἀμφί+γυος,ἀμφί,r,,γύη,n,-ā/a,1,2
Ἀμφιδάμας,0,Ἀμφι+δάμας,ἀμφί,r,,δαμάζω,v,thematic,1,2
ἀμφίδασυς,0,ἀμφί+δασυς,ἀμφί,r,,δασύς,a,u-stem,1,2
