lemma,inferred,segmentation,member1,member1_category,member1_subcategory,member2,member2_category,member2_subcategory,analysis_count,member_count
Εὔδωρος,0,Εὔ+δωρος,εὖ,d,,δῶρον,n,thematic,1,2
εὐειδής,0,εὐ+ειδής,εὖ,d,,εἶδος,n,s-stem,1,2
εὐεργής,0,εὐ+εργής,εὖ,d,,ἔργον,n,thematic,2,2
εὐεργής,0,εὐ+εργής,εὖ,d,,ἔργω,v,thematic,2,2
εὐεργός,0,εὐ+εργός,εὖ,d,,ἔργον,n,thematic,2,2
εὐεργός,0,εὐ+εργός,εὖ,d,,ἔργω,v,thematic,2,2
εὐερκής,0,εὐ+ερκής,εὖ,d,,ἔρκος,n,s-stem,1,2
εὔζωνος,0,εὔ+ζωνος,εὖ,d,,ζώνη,n,-ā/a,1,2
εὐήκης,0,εὐ+ήκης,εὖ,d,,ἀκή,n,-ā/a,1,2
εὔθρονος,0,εὔ+θρονος,εὖ,d,,θρόνος/θρόνον,n,thematic,1,2
Εὔιππος,0,Εὔ+ιππος,εὖ,d,,ἵππος,n,thematic,1,2
εὔκηλος,0,εὔ+κηλος,εὖ,d,,ἕκηλος?,a,thematic,1,2
εὐκλεής,0,εὐ+κλεής,εὖ,d,,κλέος,n,s-stem,2,2
εὐκλεής,0,εὐ+κλεής,εὖ,d,,κλέω,v,thematic,2,2
εὐκνήμις,0,εὐ+κνήμις,εὖ,d,,κνημίς,n,C-stem,1,2
εὔκομος,0,εὔ+κομος,εὖ,d,,κόμη,n,-ā/a,1,2
εὐκτίμενος,0,εὐ+κτίμενος,εὖ,d,,κτίζω,v,thematic,1,2
εὐκτιτος,0,εὐ+κτιτος,εὖ,d,,κτίζω,v,thematic,1,2
εὔκυκλος,0,εὔ+κυκλος,εὖ,d,,κυκλος,n,thematic,1,2
Εὐμήδης,0,Εὐ+μήδης,εὖ,d,,μήδομαι,v,athematic,1,2
Εὔμηλος,0,Εὔ+μηλος,εὖ,d,,μῆλον,n,thematic,1,2
εὐμμελίης,0,εὐ+μμελίης,εὖ,d,,μελία,n,-ā/a,1,2
Εὔνευς,0,Εὔ+νευς,εὖ,d,,ναός?,n,thematic,1,2
εὔνητος,0,εὔ+νητος,εὖ,d,,νέω,v,thematic,1,2
εὐξέστης,0,εὐ+ξέστης,εὖ,d,,ξέω,v,thematic,1,2
εὔξεστος,0,εὔ+ξεστος,εὖ,d,,ξέω,v,thematic,1,2
εὔξοος,0,εὔ+ξοος,εὖ,d,,ξέω,v,thematic,1,2
εὔορμος,0,εὔ+ορμος,εὖ,d,,ὅρμος,n,thematic,1,2
εὐπατέρεια,0,εὐ+πατέρεια,εὖ,d,,πατήρ,n,r-stem,1,2
εὔπεπλος,0,εὔ+πεπλος,εὖ,d,,πέπλος,n,thematic,1,2
εὔπηκτος,0,εὔ+πηκτος,εὖ,d,,πήγνυμι,v,athematic,1,2
εὔπηκτος,0,εὔ+πηκτος,εὖ,d,,πήγνυμι,v,athematic,1,2
εὐπλεκής,0,εὐ+πλεκής,εὖ,d,,πλέκω,v,thematic,1,2
εὔπλεκτος,0,εὔ+πλεκτος,εὖ,d,,πλέκω,v,thematic,1,2
εὔπλοιος,1,εὔ+πλοιος,εὖ,d,,πλέω,v,thematic,1,2
εὐπλόκαμος,0,εὐ+πλόκαμος,εὖ,d,,πλόκαμος,n,thematic,1,2
εὔπρηστος,0,εὔ+πρηστος,εὖ,d,,πρήθω,v,thematic,1,2
εὔπρυμνος,0,εὔ+πρυμνος,εὖ,d,,πρυμνα,n,-ā/a,1,2
εὔπυργος,0,εὔ+πυργος,εὖ,d,,πύργος,n,thematic,1,2
εὐρρεής,0,εὐ+ρρεής,εὖ,d,,ῥέος,n,s-stem,2,2
εὐρρεής,0,εὐ+ρρεής,εὖ,d,,ῥέω,v,thematic,2,2
εὐρρείτης,0,εὐ+ρρείτης,εὖ,d,,ῥέω,v,thematic,1,2
εὔρροος,0,εὔ+ρροος,εὖ,d,,ῥέω,v,thematic,1,2
εὐρυάγυια,0,εὐρυ+άγυια,εὐρύς,a,u-stem,ἄγυια,n,-ā/a,1,2
Εὐρύαλος,0,Εὐρύ+αλος,εὐρύς,a,u-stem,ἅλς?,n,l-stem,1,2
Εὐρυβάτης,0,Εὐρυ+βάτης,εὐρύς,a,u-stem,βαίνω,v,thematic,1,2
Εὐρυδάμας,0,Εὐρυ+δάμας,εὐρύς,a,u-stem,δαμάζω,v,thematic,1,2
Εὐρυμέδων,0,Εὐρυ+μέδων,εὐρύς,a,u-stem,μέδω,v,thematic,1,2
εὐρυμέτωπος,0,εὐρυ+μέτωπος,εὐρύς,a,u-stem,μέτωπον,n,thematic,1,2
εὐρύνομος,1,εὐρύ+νομος,εὐρύς,a,u-stem,νέμω,v,thematic,1,2
εὐρυόδειος,0,εὐρυ+όδειος,εὐρύς,a,u-stem,ὁδός,n,thematic,1,2
εὐρύπορος,0,εὐρύ+πορος,εὐρύς,a,u-stem,πορεύω,v,thematic,1,2
εὐρυπυλής,0,εὐρυ+πυλής,εὐρύς,a,u-stem,πύλη,n,-ā/a,1,2
Εὐρύπυλος,0,Εὐρύ+πυλος,εὐρύς,a,u-stem,πύλη,n,-ā/a,1,2
εὐρυρέεθρος,0,εὐρυ+ρέεθρος,εὐρύς,a,u-stem,ῥεῖθρον,n,thematic,1,2
εὐρυσθενής,0,εὐρυ+σθενής,εὐρύς,a,u-stem,σθένος,n,s-stem,2,2
εὐρυσθενής,0,εὐρυ+σθενής,εὐρύς,a,u-stem,σθένω,v,thematic,2,2
Εὔρυτος,0,Εὔ+ρυτος,εὖ,d,,ῥέω,v,thematic,1,2
εὐρύχορος,0,εὐρύ+χορος,εὐρύς,a,u-stem,χορός?,n,thematic,1,2
εὐρύωψ,0,εὐρύ+ωψ,εὐρύς,a,u-stem,ὤψ,n,C-stem,1,2
εὔσελμος,0,εὔ+σελμος,εὖ,d,,σέλμα,n,n-stem,1,2
εὔσκαρθμος,0,εὔ+σκαρθμος,εὖ,d,,σκαρθμός?,n,thematic,1,2
εὔσκοπος,0,εὔ+σκοπος,εὖ,d,,σκέπτομαι,v,thematic,1,2
Εὔσσωρος,0,Εὔ+σσωρος,εὖ,d,,σωρός,n,thematic,1,2
εὐστέφανος,0,εὐ+στέφανος,εὖ,d,,στέφανος,n,thematic,1,2
εὐστρεφής,0,εὐ+στρεφής,εὖ,d,,στρέφω,v,thematic,1,2
εὐτειχής,0,εὐ+τειχής,εὖ,d,,τεῖχος,n,s-stem,1,2
εὔτειχος,0,εὔ+τειχος,εὖ,d,,τεῖχος,n,s-stem,1,2
εὔτμητος,0,εὔ+τμητος,εὖ,d,,τέμνω,v,thematic,1,2
εὔτρητος,0,εὔ+τρητος,εὖ,d,,τετραίνω,v,thematic,1,2
εὔτροχος,0,εὔ+τροχος,εὖ,d,,τρέχω,v,thematic,1,2
εὔτυκτος,0,εὔ+τυκτος,εὖ,d,,τεύχω,v,thematic,1,2
Εὔφημος,0,Εὔ+φημος,εὖ,d,,φήμη,n,-ā/a,1,2
Εὐφήτης,0,Εὐ+φήτης,εὖ,d,,φημί,v,athematic,1,2
εὐφυής,0,εὐ+φυής,εὖ,d,,φύη,n,-ā/a,1,2
εὔχαλκος,0,εὔ+χαλκος,εὖ,d,,χαλκός,n,thematic,1,2
Εὐχήνωρ,0,Εὐχ+ήνωρ,εὐχή,n,-ā/a,ἀνήρ,n,r-stem,1,2
εὐώδης,0,εὐ+ώδης,εὖ,d,,ὀδμή?,n,-ā/a,1,2
Ἐχεκλέης,0,Ἐχε+κλέης,ἔχω,v,thematic,κλέος,n,s-stem,1,2
Ἐχέμμων,0,Ἐχέ+μμων,ἔχω,v,thematic,?,?,,1,2
ἐχεπευκής,0,ἐχε+πευκής,ἔχω,v,thematic,πευκή,n,-ā/a,1,2
Ἐχέπωλος,0,Ἐχέ+πωλος,ἔχω,v,thematic,πῶλος,n,thematic,1,2
ἐχέφρων,0,ἐχέ+φρων,ἔχω,v,thematic,φρήν,n,n-stem,1,2
ἑωσφόρος,0,ἑωσ+φόρος,ἕως,n,s-stem,φέρω,v,thematic,1,2
ζάθεος,0,ζά+θεος,διά,r,,θεός,n,thematic,1,2
ζάκοτον,0,ζά+κοτον,διά,r,,κότος,n,thematic,1,2
ζατρεφής,0,ζα+τρεφής,διά,r,,τρέφω,v,thematic,1,2
ζαφλεγής,0,ζα+φλεγής,διά,r,,φλέγω,v,thematic,1,2
ζαχρηής,0,ζα+χρηής,διά,r,,χραύω,v,thematic,1,2
ζείδωρος,0,ζεί+δωρος,ζέα,n,-ā/a,δῶρον,n,thematic,1,2
ζυγόδεσμον,0,ζυγό+δεσμον,ζυγόν,n,thematic,δεσμός,n,thematic,1,2
ζωάγρια,0,ζω+άγρια,ζωός,n,thematic,ἄγρα,n,-ā/a,1,2
ἠγάθεος,0,ἠγά+θεος,ἀγα-,d,,θεός,n,thematic,1,2
ἡδυεπής,0,ἡδυ+επής,ἡδύς,a,u-stem,ἔπος,n,s-stem,1,2
ἠερίβοιος,1,ἠερί+βοιος,ἦρι,d,,βοῦς,n,u-stem,1,2
ἠεροειδής,0,ἠερο+ειδής,ἀήρ,n,r-stem,εἶδος,n,s-stem,1,2
ἠεροφοῖτις,0,ἠερο+φοῖτις,ἀήρ,n,r-stem,φοιτάω?,v,thematic,1,2
ἠερόφωνος,0,ἠερό+φωνος,ἀήρ,n,r-stem,φωνή,n,-ā/a,1,2
ἠλίβατος,0,ἠλί+βατος,ἠλι-?,?,,βαίνω,v,thematic,1,2
ἠλιτόμηνος,0,ἠλιτό+μηνος,ἄλιτος,a,thematic,μήν,n,n-stem,1,2
ἡμίθεος,0,ἡμί+θεος,ἡμι-,m,,θεός,n,thematic,1,2
ἡμίονος,0,ἡμί+ονος,ἡμι-,m,,ὄνος,n,thematic,1,2
ἡμιπέλεκκον,0,ἡμι+πέλεκκον,ἡμι-,m,,πέλεκκον,n,thematic,1,2
ἡμιτάλαντος,0,ἡμι+τάλαντος,ἡμι-,m,,τάλαντον,n,thematic,1,2
ἡμιτελής,0,ἡμι+τελής,ἡμι-,m,,τέλος,n,s-stem,1,2
ἡνίοχος,0,ἡνί+οχος,ἡνία,n,thematic,ἔχω,v,thematic,1,2
ἠπιόδωρος,0,ἠπιό+δωρος,ἤπιος,a,thematic,δῶρον,n,thematic,1,2
Ἡρακλῆς,1,Ἡρα+κλῆς,Ἡρα?,n,-ā/a,κλέος,n,s-stem,2,2
Ἡρακλῆς,1,Ἡρα+κλῆς,Ἡρα?,n,-ā/a,κλέω,v,thematic,2,2
ἠριγενής,1,ἠρι+γενής,ἦρι,d,,γίγνομαι,v,thematic,1,2
θεόδμητος,0,θεό+δμητος,θεός,n,thematic,δέμω,v,thematic,1,2
θεοειδής,0,θεο+ειδής,θεός,n,thematic,εἶδος,n,s-stem,1,2
θεοείκελος,0,θεο+είκελος,θεός,n,thematic,εἴκελος,a,thematic,1,2
θεόπροπος,0,θεό+προπος,θεός,n,thematic,πρέπω,v,thematic,1,2
Θερσίλοχος,0,Θερσί+λοχος,θάρσος,n,s-stem,λοχεύω,v,thematic,1,2
θέσκελος,0,θέσ+κελος,θεός,n,thematic,κέλομαι,v,thematic,1,2
θεσπιδαής,0,θεσπι+δαής,θέσπις,n,i-stem,δαίω,v,thematic,1,2
θέσφατος,0,θέσ+φατος,θεός,n,thematic,φημί,v,athematic,1,3
θρασυκάρδιος,0,θρασυ+κάρδιος,θρασύς,a,u-stem,καρδία,n,-ā/a,1,2
θρασυμέμνων,0,θρασυ+μέμνων,θρασύς,a,u-stem,μένω,v,thematic,1,2
Θρασυμήδης,0,Θρασυ+μήδης,θρασύς,a,u-stem,μήδομαι,v,athematic,1,2
Θρασύμηλος,0,Θρασύ+μηλος,θρασύς,a,u-stem,μῆλον,n,thematic,1,2
θυμαλγής,0,θυμ+αλγής,θυμός,n,thematic,ἄλγος,n,s-stem,1,2
θυμαρής,0,θυμ+αρής,θυμός,n,thematic,ἀραρίσκω,v,thematic,1,2
θυμοβόρος,0,θυμο+βόρος,θυμός,n,thematic,βιβρώσκω,v,thematic,1,2
θυμολέων,0,θυμο+λέων,θυμός,n,thematic,λέων,n,n-stem,1,2
θυμοραϊστής,0,θυμο+ραϊστής,θυμός,a,thematic,ῥαίω,v,thematic,1,2
θυμοφθόρος,0,θυμο+φθόρος,θυμός,n,thematic,φθείρω,v,thematic,1,2
θυοσκόος,0,θυοσ+κόος,θύος,n,s-stem,κοέω,v,thematic,1,2
θυραωρός,0,θυρα+ωρός,θύρα,n,-ā/a,ἐρύω,v,thematic,3,2
θυραωρός,0,θυρα+ωρός,θύρα,n,-ā/a,ὁράω,v,thematic,3,2
θυραωρός,0,θυρα+ωρός,θύρα,n,-ā/a,οὐροί,n,thematic,3,2
Ἰλιονεύς,0,Ἰλιο+νεύς,Ἴλιον,n,thematic,ναός?,n,thematic,1,2
ἰοδόκος,0,ἰο+δόκος,ἰός,n,thematic,δέχομαι,v,thematic,1,2
ἰόμωρος,0,ἰό+μωρος,ἰός,n,thematic,μωρος?,?,,1,2
ἰοχέαιρα,0,ἰο+χέαιρα,ἰός,n,thematic,χείρ,n,r-stem,1,2
ἱππηλάτης,0,ἱππ+ηλάτης,ἵππος,n,thematic,ἐλαύνω,v,thematic,1,2
ἱππημολγός,0,ἱππ+ημολγός,ἵππος,n,thematic,ἀμέλγω,v,thematic,1,2
ἱππιοχαίτης,0,ἱππιο+χαίτης,ἵππος,n,thematic,χαίτη,n,-ā/a,1,2
ἱππιοχάρμη,0,ἱππιο+χάρμη,ἵππος,n,thematic,χάρμη,n,-ā/a,1,2
ἱππόβοτος,0,ἱππό+βοτος,ἵππος,n,thematic,βώσκω,v,thematic,1,2
ἱππόδαμος,0,ἱππό+δαμος,ἵππος,n,thematic,δαμάζω,v,thematic,1,2
ἱπποδασύς,0,ἱππο+δασύς,ἵππος,n,thematic,δασύς,a,u-stem,1,2
Ἱππόθοος,0,Ἱππό+θοος,ἵππος,n,thematic,θέω,v,thematic,1,2
ἱπποκέλευθος,0,ἱππο+κέλευθος,ἵππος,n,thematic,κέλευθος,n,thematic,1,2
ἱππόκομος,0,ἱππό+κομος,ἵππος,n,thematic,κόμη,n,-ā/a,1,2
ἱπποκορυστής,0,ἱππο+κορυστής,ἵππος,n,thematic,κορυστής,n,-ā/a,1,2
Ἱπποκόων,0,Ἱππο+κόων,ἵππος,n,thematic,κοέω,v,thematic,1,2
Ἱππόλοχος,0,Ἱππό+λοχος,ἵππος,n,thematic,λέχομαι,v,thematic,1,2
ἱππόμαχος,0,ἱππό+μαχος,ἵππος,n,thematic,μάχομαι,v,thematic,1,2
ἱπποπόλος,0,ἱππο+πόλος,ἵππος,n,thematic,πέλω,v,thematic,1,2
ἵππουρις,0,ἵππ+ουρις,ἵππος,n,thematic,οὐρά,n,-ā/a,1,2
Ἴσανδρός,0,Ἴσ+ανδρός,ἶσος,a,thematic,ἀνήρ,n,r-stem,1,2
ἰσόθεος,0,ἰσό+θεος,ἵσος,a,thematic,θεός,n,thematic,1,2
ἰσόμορος,0,ἰσό+μορος,ἶσος,a,thematic,μείρομαι,v,thematic,1,2
ἰσόπεδος,0,ἰσό+πεδος,ἶσος,a,thematic,πέδον,n,thematic,1,2
ἱστοδόκη,0,ἱστο+δόκη,ἱστός,n,thematic,δέχομαι,v,thematic,1,2
Ἰφιάνασσα,0,Ἰφι+άνασσα,ἶφι,d,,ἄναξ,n,C-stem,1,2
Ἰφιδάμας,0,Ἰφι+δάμας,ἶφι,d,,δαμάζω,v,thematic,1,2
Ἰφικλῆς,1,Ἰφι+κλῆς,ἶφι,d,,κλέος,n,s-stem,2,2
Ἰφικλῆς,1,Ἰφι+κλῆς,ἶφι,d,,κλέω,v,thematic,2,2
Ἰφίνοος,0,Ἰφί+νοος,ἶφι,d,,νοῦς,n,u-stem,1,2
κακομήχανος,0,κακο+μήχανος,κακός,a,thematic,μηχανή,n,-ā/a,1,2
κακορραφος,1,κακο+ρραφος,κακός,a,thematic,ῥάπτω,v,thematic,1,2
κακότεχνος,0,κακό+τεχνος,κακός,a,thematic,τέχνη,n,-ā/a,1,2
κακοφραδής,0,κακο+φραδής,κακός,a,thematic,φράζω,v,thematic,1,2
καλαῦροψ?,0,καλαῦροψ?,καλα-?,?,,ῥέπω?,v,thematic,1,2
Καλλιάνασσα,0,Καλλι+άνασσα,κάλλος,n,s-stem,ἄναξ,n,C-stem,1,2
καλλιγύναιξ,0,καλλι+γύναιξ,κάλλος,n,s-stem,γύναιξ,n,C-stem,1,2
καλλίζωνος,0,καλλί+ζωνος,κάλλος,n,s-stem,ζώνη,n,-ā/a,1,2
καλλίθριξ,0,καλλί+θριξ,κάλλος,n,s-stem,θρίξ,n,C-stem,1,2
Καλλικολώνη,0,Καλλι+κολώνη,κάλλος,n,s-stem,κολώνη,n,-ā/a,1,2
καλλίκομος,0,καλλί+κομος,κάλλος,n,s-stem,κόμη,n,-ā/a,1,2
καλλίπαις,0,καλλί+παις,κάλλος,n,s-stem,παῖς,n,C-stem,1,2
καλλιπάρῃος,0,καλλι+πάρῃος,κάλλος,n,s-stem,παρειά,n,thematic,1,2
καλλιπλόκαμος ,0,καλλι+πλόκαμος ,κάλλος,n,s-stem,πλόκαμος,n,thematic,1,2
καλλίρροος,0,καλλί+ρροος,κάλλος,n,s-stem,ῥέω,v,thematic,1,2
καλλίσφυρος,0,καλλί+σφυρος,κάλλος,n,s-stem,σφυρόν,n,thematic,1,2
κάμμονος,1,κάμ+μονος,κατά,r,,μένω,v,thematic,1,2
καρτερόθυμος,0,καρτερό+θυμος,καρτερός,a,thematic,θυμός,n,thematic,1,2
καρχαρόδων,0,καρχαρ+όδων,κάρχαρος,a,thematic,ὀδών,n,n-stem,1,2
κασίγνητος,0,κασί+γνητος,κασι-?,?,,γίγνομαι,v,thematic,1,2
Κασσάνδρη,0,Κασσ+άνδρη,κέκασμαι?,v,athematic,ἀνήρ,n,r-stem,1,2
Καστιάνειρα,0,Καστ+ανειρα,κέκασμαι?,v,athematic,ἀνήρ,n,r-stem,1,2
καταθνητός,0,κατα+θνητός,κατά,r,,θνήσκω,v,thematic,1,2
καταθύμιος,0,κατα+θύμιος,κατά,r,,θυμός,n,thematic,1,2
κατάπαυμα,0,κατά+παυμα,κατἀ,r,,παύω,v,thematic,1,2
καταχθόνιος,0,κατα+χθόνιος,κατά,r,,χθών,n,n-stem,1,2
κατωμάδιος,0,κατ+ωμάδιος,κατά,r,,ὦμος,n,thematic,1,2
κατωμαδόν,0,κατ+ωμαδόν,κατά,r,,ὦμος,n,thematic,1,2
κεκρύφαλος,0,κεκρύ+φαλος,κεκρυ-,?,,φαλός,n,thematic,1,2
κελαινεφής,0,κελαι+νεφής,κελαινός,a,thematic,νέφος,n,s-stem,1,2
κενεαυχής,0,κενε+αυχής,κενός,a,thematic,αὔχη,n,-ā/a,1,2
κεντρηνεκής,0,κεντρ+ηνεκής,κέντρον,n,thematic,ἐνεγκεῖν,v,?,1,2
κεραοξόος,0,κεραο+ξόος,κέρας,n,s-stem,ξέω,v,thematic,1,2
κερδαλεόφρων,0,κερδαλεό+φρων,κερδαλέος,a,s-stem,φρήν,n,n-stem,1,2
κηρεσσιφόρητος,0,κηρεσσι+φόρητος,Κῆρες,n,r-stem,φορέω,v,thematic,1,2
Κλεοπάτρα,0,Κλεο+πάτρα,κλεός,n,s-stem,πατήρ,n,r-stem,1,2
Κλυταιμνήστρης,0,Κλυται+μνήστρης,κλυτός,a,thematic,μνηστεύω,v,thematic,1,2
Κλυτομήδης,0,Κλυτο+μήδης,κλυτός,a,thematic,μήδομαι,v,athematic,1,2
κλυτόπωλος,0,κλυτό+πωλος,κλυτός,a,thematic,πῶλος,n,thematic,1,2
κλυτοτέχνης,0,κλυτο+τέχνης,κλυτός,a,thematic,τέχνη,n,-ā/a,1,2
κλυτότοξος,0,κλυτό+τοξος,κλυτός,a,thematic,τόξον,n,thematic,1,2
κονίσαλος,0,κονί+σαλος,κόνις,n,i-stem,σάλος,n,thematic,1,2
κορυθαίολος,0,κορυθ+αίολος,κόρυς,n,C-stem,αἰόλος,a,thematic,1,2
κοτυλήρυτος,0,κοτυλ+ήρυτος,κοτύλη,n,-ā/a,ἀρύω,v,thematic,1,2
κραταιγύαλος,0,κραται+γύαλος,κράτος,n,s-stem,γύη,n,-ā/a,1,2
κρατερόφρων,0,κρατερό+φρων,κρατερός,a,thematic,φρήν,n,n-stem,1,2
κρατερῶνυξ,0,κρατερ(ό+ο)νυξ,κρατερός,a,thematic,ὄνυξ,n,C-stem,1,2
κροκόπεπλος,0,κροκό+πεπλος,κρόκος,n,thematic,πέπλος,n,thematic,1,2
κυανόπρῳρος,0,κυανό+πρῳρος,κύανος,n,thematic,πρῴρη,n,-ā/a,1,2
κυανοχαίτης,0,κυανο+χαίτης,κύανος,n,thematic,χαίτη,n,-ā/a,1,2
κυδιάνειρα,0,κυδι+άνειρα,κύδος,n,s-stem,ἀνήρ,n,r-stem,1,2
κυκλοτερής,0,κυκλο+τερής,κύκλος,n,thematic,τείρω,v,thematic,1,2
κυλλοποδίων,0,κυλλο+ποδίων,κυλλός,a,thematic,ποῦς,n,C-stem,1,2
κυμόδοκος,1,κυμό+δοκος,κῦμα,n,n-stem,δέχομαι,v,thematic,1,2
Κυμόθοος,0,Κυμό+θοος,κῦμα,n,n-stem,θέω,v,thematic,1,2
κυνάμυια,0,κυνά+μυια,κύων,n,C-stem,μυῖα,n,-ā/a,1,2
κύνωψ,1,κύν+ωψ,κύων,n,C-stem,ὤψ,n,C-stem,1,2
λαβραγόρης,0,λαβρ+αγόρης,λάβρος,a,thematic,ἀγορεύω,v,thematic,1,2
Λαέρκης,0,Λα+έρκης,λαός,n,thematic,ἔρκος,n,s-stem,1,2
λαθικηδής,0,λαθι+κηδής,λανθάνω,v,thematic,κῆδος,n,s-stem,1,2
Λαοδάμας,0,Λαο+δάμας,λαός,n,thematic,δαμάζω,v,thematic,1,2
Λαοδίκη,0,Λαο+δίκη,λαός,n,thematic,δίκη,n,-ā/a,1,2
Λαόδοκος,0,Λαό+δοκος,λαός,n,thematic,δέχομαι,v,thematic,1,2
λαόθοος,1,λαό+θοος,λαός,n,thematic,θέω,v,thematic,1,2
Λαομέδων,0,Λαο+μέδων,λαός,n,thematic,μέδω,v,thematic,1,2
λαοσσόος,0,λαο+σσόος,λαός,n,thematic,σεύω,v,thematic,1,2
λαοφόρος,0,λαο+φόρος,λαός,n,thematic,φέρω,v,thematic,1,2
Λειώκριτος,0,Λειώ+κριτος,λαός,n,thematic,κρίνω,v,thematic,1,2
λεύκασπις,0,λεύκ+ασπις,λευκός,a,thematic,ἀσπίς,n,C-stem,1,2
λευκώλενος,0,λευκ+ώλενος,λευκός,a,thematic,ὠλένη,n,-ā/a,1,2
λεχεποίος?,0,λεχε+ποίος?,λέχομαι?,v,thematic,πόα,n,-ā/a,1,2
λιγύφθογγος,0,λιγύ+φθογγος,λιγύς,a,u-stem,φθέγγομαι,v,thematic,1,2
λιγύφωνος,0,λιγύ+φωνος,λιγύς,a,u-stem,φωνή,n,-ā/a,1,2
λίμνωρος,1,λίμν+ωρος,λίμνη,n,-ā/a,ὄρος?,?,-ā/a,1,2
λινοθώρηξ,0,λινο+θώρηξ,λίνον,n,thematic,θώρηξ,n,C-stem,1,2
λιπαροκρήδεμνος,0,λιπαρο+κρήδεμνος,λιπαρός,a,thematic,κρήδεμνον,n,thematic,1,2
λιπαροπλόκαμος,0,λιπαρο+πλόκαμος,λιπαρός,a,thematic,πλόκαμος,n,thematic,1,2
λοετροχόος,0,λοετρο+χόος,λοετρόν,n,thematic,χέω,v,thematic,1,2
Λυκηγενής,0,Λυκη+γενής,Λυκία?,n,-ā/a,γίγνομαι,v,thematic,1,2
Λυκομήδης,0,Λυκο+μήδης,λύκος,n,thematic,μήδομαι,v,athematic,1,2
Λυκοφόντης,0,Λυκο+φόντης,λύκος,n,thematic,θείνω,v,thematic,1,2
Λυκόφρων,0,Λυκό+φρων,λύκος?,n,thematic,φρήν,n,n-stem,1,2
Λύσανδρος,0,Λύσ+ανδρος,λύω,v,thematic,ἀνήρ,n,r-stem,1,2
μεγάθυμος,0,μεγά+θυμος,μέγας,a,l-stem,θυμός,n,thematic,1,2
μεγάκητος,0,μεγά+κητος,μέγας,a,l-stem,κῆτος,n,s-stem,1,2
μεγαλήτωρ,0,μεγαλ+ήτωρ,μέγας,a,l-stem,ἦτορ,n,r-stem,1,2
μελάνδετος,0,μελάν+δετος,μέλας,a,n-stem,δέω,v,thematic,1,2
Μελάνιππος,0,Μελάν+ιππος,μέλας,a,n-stem,ἵππος,n,thematic,1,2
μελανόχρως,0,μελανό+χρως,μέλας,a,n-stem,χρώς,n,s-stem,1,2
μελάνυδρος,0,μελάν+υδρος,μέλας,a,n-stem,ὕδωρ,n,r-stem,1,2
μελιηδής,0,μελι+ηδής,μέλι,n,i-stem,ἧδος,n,s-stem,1,2
μελίφρων,0,μελί+φρων,μέλι,n,i-stem,φρήν,n,n-stem,1,2
μενεδήϊος,0,μενε+δήϊος,μένω,v,thematic,δάϊος,n,thematic,1,2
Μενέλαος,0,Μενέ+λαος,μένω,v,thematic,λάος,n,thematic,1,2
μενεπτόλεμος,0,μενε+πτόλεμος,μένω,v,thematic,πόλεμος,n,thematic,1,2
Μενεσθένης,1,Μενε+σθένης,μένω,v,thematic,σθένος,n,s-stem,1,2
Μενεσθένης,1,Μενε+σθένης,μένω,v,thematic,σθένω,v,thematic,,
μενεχάρμαι,0,μενε+χάρμαι,μένω,v,thematic,χάρμη,n,-ā/a,1,2
μενοεικής,0,μενο+εικής,μένος,n,thematic,εἰκός,n,C-stem,2,2
μενοεικής,0,μενο+εικής,μένος,n,thematic,ἔοικα,v,?,2,2
μέροψ,0,μέρ+οψ,μέρος?,n,thematic,ὄψ,n,C-stem,1,2
μεσαιπόλιος,0,μεσαι+πόλιος,μέσος,a,thematic,πολιός,a,thematic,1,2
μέσσαυλος,0,μέσσ+αυλος,μέσος,a,thematic,αὐλή,n,-ā/a,1,2
μεσσοπαγής,0,μεσσο+παγής,μέσος ,a,thematic,πήγνυμι,v,athematic,1,2
μετάγγελος,0,μετ+άγγελος,μετά,r,,ἄγγελος,n,thematic,1,2
μετάδρομος,1,μετά+δρομος,μετά,r,,δραμεῖν,v,?,1,2
μεταμάζιος,0,μετα+μάζιος,μετά,r,,μαζός,n,thematic,1,2
μεταπαυσωλή,0,μετα+παυσωλή,μετά,r,,παύω,v,thematic,1,2
μεταστοιχός,1,μετα+στοιχός,μετά,r,,στείχω,v,thematic,1,2
μετάφρενον,0,μετά+φρενον,μετά,r,,φρήν,n,n-stem,1,2
μετήορος,0,μετ+ήορος,μετά,r,,ἀείρω,v,thematic,1,2
Μηδεσικάστη?,0,Μηδεσι+κάστη?,μήδομαι,v,thematic,κέκασμαι?,v,athematic,1,2
μηλοβοτήρ,0,μηλο+βοτήρ,μῆλον,n,thematic,βώσκω,v,thematic,1,2
μιαιφόνος,0,μιαι+φόνος,μιαι-?,?,,θείνω,v,thematic,1,2
μιλτοπάρῃος,0,μιλτο+πάρῃος,μίλτος,n,thematic,παρειά,n,thematic,1,2
μισγαγκής,1,μισγ+αγκής,μίσγω,v,thematic,ἄγκος,n,s-stem,1,2
-μιτροχίτων,0,-μιτρο+χίτων,μίτρη,n,-ā/a,χίτων,n,n-stem,1,2
μογοστόκος,0,μογο+στόκος,μόγος,n,thematic,τίκτω,v,thematic,1,2
μοιρηγενής,0,μοιρη+γενής,μοῖρα,n,-ā/a,γίγνομαι,v,thematic,1,2
μυλοειδής,0,μυλο+ειδής,μύλος,n,thematic,εἶδος,n,s-stem,1,2
